,num_nodes,avg_degree,frac_directed,degree_variance,num_samples,admg_model,beta_low,beta_high,omega_offdiag_low,omega_offdiag_high,omega_diag_low,omega_diag_high,standardize_data,center_data,steps_per_env,n_envs,normalize_advantage,n_epochs,device,n_steps,ent_coef,dcd_num_restarts,vec_envs_random_state,relcadilac_time_sec,gfci_time_sec,dcd_time_sec,dcd_pag_metrics_tail_tpr,dcd_pag_metrics_tail_fdr,dcd_pag_metrics_tail_f1,dcd_pag_metrics_head_tpr,dcd_pag_metrics_head_fdr,dcd_pag_metrics_head_f1,dcd_pag_metrics_circle_tpr,dcd_pag_metrics_circle_fdr,dcd_pag_metrics_circle_f1,dcd_pag_metrics_skeleton_f1,dcd_pag_metrics_skeleton_tpr,dcd_pag_metrics_skeleton_fdr,dcd_admg_metrics_skeleton_tpr,dcd_admg_metrics_skeleton_fdr,dcd_admg_metrics_skeleton_f1,dcd_admg_metrics_admg_tpr,dcd_admg_metrics_admg_fdr,dcd_admg_metrics_admg_f1,dcd_admg_metrics_admg_shd,gfci_pag_metrics_tail_tpr,gfci_pag_metrics_tail_fdr,gfci_pag_metrics_tail_f1,gfci_pag_metrics_head_tpr,gfci_pag_metrics_head_fdr,gfci_pag_metrics_head_f1,gfci_pag_metrics_circle_tpr,gfci_pag_metrics_circle_fdr,gfci_pag_metrics_circle_f1,gfci_pag_metrics_skeleton_f1,gfci_pag_metrics_skeleton_tpr,gfci_pag_metrics_skeleton_fdr,relcadilac_pag_metrics_tail_tpr,relcadilac_pag_metrics_tail_fdr,relcadilac_pag_metrics_tail_f1,relcadilac_pag_metrics_head_tpr,relcadilac_pag_metrics_head_fdr,relcadilac_pag_metrics_head_f1,relcadilac_pag_metrics_circle_tpr,relcadilac_pag_metrics_circle_fdr,relcadilac_pag_metrics_circle_f1,relcadilac_pag_metrics_skeleton_f1,relcadilac_pag_metrics_skeleton_tpr,relcadilac_pag_metrics_skeleton_fdr,relcadilac_admg_metrics_skeleton_tpr,relcadilac_admg_metrics_skeleton_fdr,relcadilac_admg_metrics_skeleton_f1,relcadilac_admg_metrics_admg_tpr,relcadilac_admg_metrics_admg_fdr,relcadilac_admg_metrics_admg_f1,relcadilac_admg_metrics_admg_shd
14,15,4,0.6,0.2,2000,ancestral,0.5,2.0,0.4,0.7,0.7,1.2,False,True,2000,8,True,1,cuda,16,0.05,1,0,564.4531222900005,0.21430815100029577,1576.506623358,0.6571428571428571,0.39473684210526316,0.6301369863013698,0.4626865671641791,0.40384615384615385,0.5210084033613446,0.3333333333333333,0.9,0.15384615384615385,0.7706422018348624,0.7777777777777778,0.23636363636363636,0.6612903225806451,0.39705882352941174,0.6307692307692307,0.56,0.4909090909090909,0.5333333333333333,49.0,0.02857142857142857,0.5,0.05405405405405406,0.14925373134328357,0.3333333333333333,0.24390243902439024,0.0,1.0,0.0,0.3333333333333333,0.2037037037037037,0.08333333333333333,0.11428571428571428,0.8709677419354839,0.12121212121212122,0.29850746268656714,0.6078431372549019,0.3389830508474576,0.6666666666666666,0.9629629629629629,0.07017543859649122,0.697986577181208,0.9629629629629629,0.45263157894736844,0.4838709677419355,0.6875,0.379746835443038,0.38,0.8,0.2620689655172414,107.0
15,20,4,0.6,0.2,2000,ancestral,0.5,2.0,0.4,0.7,0.7,1.2,False,True,2000,8,True,1,cuda,16,0.05,1,0,931.3723921140008,0.8877704070000618,423.99093078499936,0.765625,0.30985915492957744,0.725925925925926,0.6888888888888889,0.24390243902439024,0.7209302325581395,0.125,0.8571428571428571,0.13333333333333333,0.8198757763975155,0.8148148148148148,0.175,0.6914893617021277,0.23529411764705882,0.7262569832402235,0.691358024691358,0.3,0.6956521739130435,49.0,0.0,1.0,0.0,0.06666666666666667,0.5,0.11764705882352941,0.5,0.7777777777777778,0.3076923076923077,0.25,0.14814814814814814,0.2,0.25,0.8709677419354839,0.1702127659574468,0.4,0.7631578947368421,0.2975206611570248,0.0,1.0,0.0,0.5857740585774058,0.8641975308641975,0.5569620253164557,0.40425531914893614,0.7639751552795031,0.2980392156862745,0.32098765432098764,0.8354430379746836,0.21757322175732216,187.0
16,20,4,0.6,0.2,2000,ancestral,0.5,2.0,0.4,0.7,0.7,1.2,False,True,2000,8,True,1,cuda,16,0.05,1,0,698.3897010779983,0.2385959780003759,2346.420321145997,0.8297872340425532,0.30357142857142855,0.7572815533980582,0.75,0.4915254237288136,0.6060606060606061,0.0,1.0,0.0,0.8152866242038217,0.9411764705882353,0.2808988764044944,0.7195121951219512,0.4485981308411215,0.6243386243386243,0.6617647058823529,0.4578313253012048,0.5960264900662251,61.0,0.02127659574468085,0.0,0.041666666666666664,0.2375,0.45714285714285713,0.33043478260869563,0.1111111111111111,0.9166666666666666,0.09523809523809523,0.4782608695652174,0.3235294117647059,0.08333333333333333,0.574468085106383,0.7652173913043478,0.3333333333333333,0.625,0.6621621621621622,0.43859649122807015,0.2222222222222222,0.9636363636363636,0.0625,0.5726872246696035,0.9558823529411765,0.5911949685534591,0.6585365853658537,0.6746987951807228,0.43548387096774194,0.5882352941176471,0.7484276729559748,0.35242290748898675,147.0
17,20,4,0.6,0.2,2000,ancestral,0.5,2.0,0.4,0.7,0.7,1.2,False,True,2000,8,True,1,cuda,16,0.05,1,0,680.5095375019991,0.08768541999961599,1745.4579090200023,0.7857142857142857,0.043478260869565216,0.8627450980392157,0.676923076923077,0.2,0.7333333333333333,1.0,0.5909090909090909,0.5806451612903226,0.8712871287128713,0.8627450980392157,0.12,0.7272727272727273,0.29411764705882354,0.7164179104477612,0.6274509803921569,0.36,0.6336633663366336,37.0,0.21428571428571427,0.14285714285714285,0.34285714285714286,0.3076923076923077,0.3333333333333333,0.42105263157894735,0.3333333333333333,0.5714285714285714,0.375,0.6027397260273972,0.43137254901960786,0.0,0.8214285714285714,0.8,0.32167832167832167,0.5538461538461539,0.7230769230769231,0.36923076923076925,0.1111111111111111,0.96,0.058823529411764705,0.4731182795698925,0.8627450980392157,0.674074074074074,0.5606060606060606,0.7357142857142858,0.3592233009708738,0.5686274509803921,0.7851851851851852,0.3118279569892473,128.0
18,20,4,0.6,0.2,2000,ancestral,0.5,2.0,0.4,0.7,0.7,1.2,False,True,2000,8,True,1,cuda,16,0.05,1,0,762.3177588979997,0.10354854600154795,406.67616876399916,0.8709677419354839,0.22857142857142856,0.8181818181818182,0.46534653465346537,0.04081632653061224,0.6266666666666667,0.6666666666666666,0.6666666666666666,0.4444444444444444,0.7863247863247863,0.6666666666666666,0.041666666666666664,0.550561797752809,0.057692307692307696,0.6950354609929078,0.6290322580645161,0.1875,0.7090909090909092,32.0,0.12903225806451613,0.3333333333333333,0.21621621621621623,0.1782178217821782,0.28,0.2857142857142857,0.16666666666666666,0.9473684210526315,0.08,0.5319148936170213,0.36231884057971014,0.0,0.45161290322580644,0.8978102189781022,0.16666666666666666,0.3564356435643564,0.7464788732394366,0.2962962962962963,0.0,1.0,0.0,0.5233644859813084,0.8115942028985508,0.6137931034482759,0.3707865168539326,0.7755102040816326,0.2796610169491525,0.24193548387096775,0.896551724137931,0.14492753623188406,177.0
19,20,4,0.6,0.2,2000,ancestral,0.5,2.0,0.4,0.7,0.7,1.2,False,True,2000,8,True,1,cuda,16,0.05,1,0,951.8287364780008,0.22163579399784794,2419.4308628160034,0.8478260869565217,0.20408163265306123,0.8210526315789474,0.765625,0.26865671641791045,0.7480916030534351,0.25,0.8,0.2222222222222222,0.8360655737704918,0.864406779661017,0.19047619047619047,0.7313432835820896,0.3,0.7153284671532847,0.7627118644067796,0.2857142857142857,0.7377049180327869,32.0,0.06521739130434782,0.25,0.12,0.125,0.5,0.2,0.125,0.9285714285714286,0.09090909090909091,0.3684210526315789,0.23728813559322035,0.17647058823529413,0.30434782608695654,0.8738738738738738,0.17834394904458598,0.46875,0.8064516129032258,0.273972602739726,0.0,1.0,0.0,0.48847926267281105,0.8983050847457628,0.6645569620253164,0.47761194029850745,0.8012422360248447,0.2807017543859649,0.423728813559322,0.8407643312101911,0.23148148148148145,166.0
20,30,4,0.6,0.2,2000,ancestral,0.5,2.0,0.4,0.7,0.7,1.2,False,True,2000,8,True,1,cuda,16,0.05,1,0,1885.294117819998,0.16258563500014134,970.3715567120016,0.6595744680851063,0.27906976744186046,0.6888888888888889,0.432258064516129,0.1518987341772152,0.5726495726495726,0.75,0.8125,0.3,0.7362637362637363,0.638095238095238,0.12987012987012986,0.48951048951048953,0.18604651162790697,0.611353711790393,0.5510204081632653,0.2987012987012987,0.6171428571428571,67.0,0.3191489361702128,0.11764705882352941,0.46875,0.2129032258064516,0.2978723404255319,0.32673267326732675,0.0,1.0,0.0,0.5034965034965035,0.34285714285714286,0.05263157894736842,0.3829787234042553,0.9296875,0.1188118811881188,0.3096774193548387,0.8339100346020761,0.21621621621621623,0.0,1.0,0.0,0.4,0.7428571428571429,0.7263157894736842,0.32167832167832167,0.8466666666666667,0.2076749435665914,0.22448979591836735,0.9228070175438596,0.11488250652741516,339.0
21,30,4,0.6,0.2,2000,ancestral,0.5,2.0,0.4,0.7,0.7,1.2,False,True,2000,8,True,1,cuda,16,0.05,1,0,1025.1497608380014,0.060867717998917215,429.3434156170042,0.3076923076923077,0.0,0.47058823529411764,0.4375,0.0,0.6086956521739131,0.9230769230769231,0.6571428571428571,0.5,0.835820895522388,0.7567567567567568,0.06666666666666667,0.5555555555555556,0.0625,0.6976744186046512,0.5945945945945946,0.26666666666666666,0.6567164179104478,23.0,0.38461538461538464,0.0,0.5555555555555556,0.4791666666666667,0.0,0.647887323943662,1.0,0.6176470588235294,0.5531914893617021,0.9117647058823529,0.8378378378378378,0.0,0.8461538461538461,0.95,0.0944206008583691,0.5416666666666666,0.9003831417624522,0.16828478964401294,0.0,1.0,0.0,0.24028268551236748,0.918918918918919,0.8617886178861789,0.5925925925925926,0.8787878787878788,0.20125786163522014,0.4864864864864865,0.926530612244898,0.12765957446808512,246.0
22,30,4,0.6,0.2,2000,ancestral,0.5,2.0,0.4,0.7,0.7,1.2,False,True,2000,8,True,1,cuda,16,0.05,1,0,2396.849202344005,0.9490153290025773,2940.510969322,0.8181818181818182,0.18181818181818182,0.8181818181818182,0.6728971962616822,0.15294117647058825,0.75,0.25,0.8,0.2222222222222222,0.8625,0.8117647058823529,0.08,0.6857142857142857,0.1724137931034483,0.75,0.6626506024096386,0.26666666666666666,0.6962025316455697,48.0,0.16363636363636364,0.18181818181818182,0.2727272727272727,0.21495327102803738,0.30303030303030304,0.32857142857142857,0.75,0.7692307692307693,0.35294117647058826,0.5333333333333333,0.3764705882352941,0.08571428571428572,0.509090909090909,0.8943396226415095,0.175,0.411214953271028,0.8508474576271187,0.21890547263681592,0.0,1.0,0.0,0.3723404255319149,0.8235294117647058,0.7594501718213058,0.4380952380952381,0.847682119205298,0.22604422604422605,0.3855421686746988,0.8900343642611683,0.1711229946524064,310.0
23,30,4,0.6,0.2,2000,ancestral,0.5,2.0,0.4,0.7,0.7,1.2,False,True,2000,8,True,1,cuda,16,0.05,1,0,1271.632295716001,0.08448503199906554,939.1000060330043,0.46875,0.2857142857142857,0.5660377358490566,0.4939759036144578,0.31666666666666665,0.5734265734265734,0.8,0.8620689655172413,0.23529411764705882,0.782608695652174,0.75,0.18181818181818182,0.5764705882352941,0.26865671641791045,0.6447368421052632,0.55,0.37735849056603776,0.5840707964601771,47.0,0.21875,0.125,0.35,0.26506024096385544,0.08333333333333333,0.411214953271028,0.2,0.9666666666666667,0.05714285714285714,0.6813186813186813,0.5166666666666667,0.0,0.59375,0.9177489177489178,0.1444866920152091,0.4457831325301205,0.8514056224899599,0.22289156626506024,0.0,1.0,0.0,0.33121019108280253,0.8666666666666667,0.7952755905511811,0.4470588235294118,0.8549618320610687,0.21902017291066284,0.35,0.9173228346456693,0.1337579617834395,272.0
24,30,4,0.6,0.2,2000,ancestral,0.5,2.0,0.4,0.7,0.7,1.2,False,True,2000,8,True,1,cuda,16,0.05,1,0,2580.5162164300054,5.517215517997101,1662.9163594429992,0.9078947368421053,0.12658227848101267,0.8903225806451613,0.5055555555555555,0.09900990099009901,0.6476868327402135,0.5,0.6875,0.38461538461538464,0.7965367965367965,0.6917293233082706,0.061224489795918366,0.5838509316770186,0.08737864077669903,0.7121212121212122,0.6829268292682927,0.13402061855670103,0.7636363636363637,52.0,0.06578947368421052,0.0,0.12345679012345678,0.1,0.25,0.17647058823529413,0.3,0.8571428571428571,0.1935483870967742,0.26582278481012656,0.15789473684210525,0.16,0.6052631578947368,0.8308823529411765,0.26436781609195403,0.4777777777777778,0.7278481012658228,0.3467741935483871,0.1,0.9285714285714286,0.08333333333333333,0.48847926267281105,0.7969924812030075,0.6478405315614618,0.5031055900621118,0.7484472049689441,0.33540372670807456,0.42276422764227645,0.8272425249169435,0.24528301886792453,320.0
