,num_nodes,avg_degree,frac_directed,degree_variance,num_samples,admg_model,beta_low,beta_high,omega_offdiag_low,omega_offdiag_high,omega_diag_low,omega_diag_high,standardize_data,center_data,steps_per_env,n_envs,normalize_advantage,n_epochs,device,n_steps,ent_coef,dcd_num_restarts,relcadilac_time_sec,gfci_time_sec,dcd_time_sec,dcd_pag_metrics_tail_tpr,dcd_pag_metrics_tail_fdr,dcd_pag_metrics_tail_f1,dcd_pag_metrics_head_tpr,dcd_pag_metrics_head_fdr,dcd_pag_metrics_head_f1,dcd_pag_metrics_circle_tpr,dcd_pag_metrics_circle_fdr,dcd_pag_metrics_circle_f1,dcd_pag_metrics_skeleton_f1,dcd_pag_metrics_skeleton_tpr,dcd_pag_metrics_skeleton_fdr,dcd_admg_metrics_skeleton_tpr,dcd_admg_metrics_skeleton_fdr,dcd_admg_metrics_skeleton_f1,dcd_admg_metrics_admg_tpr,dcd_admg_metrics_admg_fdr,dcd_admg_metrics_admg_f1,dcd_admg_metrics_admg_shd,gfci_pag_metrics_tail_tpr,gfci_pag_metrics_tail_fdr,gfci_pag_metrics_tail_f1,gfci_pag_metrics_head_tpr,gfci_pag_metrics_head_fdr,gfci_pag_metrics_head_f1,gfci_pag_metrics_circle_tpr,gfci_pag_metrics_circle_fdr,gfci_pag_metrics_circle_f1,gfci_pag_metrics_skeleton_f1,gfci_pag_metrics_skeleton_tpr,gfci_pag_metrics_skeleton_fdr,relcadilac_pag_metrics_tail_tpr,relcadilac_pag_metrics_tail_fdr,relcadilac_pag_metrics_tail_f1,relcadilac_pag_metrics_head_tpr,relcadilac_pag_metrics_head_fdr,relcadilac_pag_metrics_head_f1,relcadilac_pag_metrics_circle_tpr,relcadilac_pag_metrics_circle_fdr,relcadilac_pag_metrics_circle_f1,relcadilac_pag_metrics_skeleton_f1,relcadilac_pag_metrics_skeleton_tpr,relcadilac_pag_metrics_skeleton_fdr,relcadilac_admg_metrics_skeleton_tpr,relcadilac_admg_metrics_skeleton_fdr,relcadilac_admg_metrics_skeleton_f1,relcadilac_admg_metrics_admg_tpr,relcadilac_admg_metrics_admg_fdr,relcadilac_admg_metrics_admg_f1,relcadilac_admg_metrics_admg_shd,vec_envs_random_state
10,10,4,0.6,0.2,1000,ancestral,0.5,2.0,0.4,0.7,0.7,1.2,False,True,2000,8,True,1,cuda,16,0.05,1,88.11488700799964,0.023465772999770707,40.78726662699955,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.55,0.0,0.7096774193548387,0.9,0.4,0.72,0.9411764705882353,0.8888888888888888,0.0,0.72,0.0,0.8372093023255814,0.7222222222222222,0.1875,0.7647058823529411,8.0,0.3333333333333333,0.0,0.5,0.4,0.1111111111111111,0.5517241379310345,0.9,0.3076923076923077,0.782608695652174,0.8,0.6666666666666666,0.0,1.0,0.6470588235294118,0.5217391304347826,0.6,0.5862068965517241,0.4897959183673469,0.3,0.8333333333333334,0.21428571428571427,0.68,0.9444444444444444,0.46875,0.64,0.5555555555555556,0.5245901639344263,0.5555555555555556,0.6875,0.39999999999999997,30.0,0.0
11,10,4,0.6,0.2,1000,ancestral,0.5,2.0,0.4,0.7,0.7,1.2,False,True,2000,8,True,1,cuda,16,0.05,1,92.65410996300034,0.01785237199965195,46.95245834100024,0.5555555555555556,0.0,0.7142857142857143,0.4,0.0,0.5714285714285714,0.0,1.0,0.0,0.8275862068965517,0.7058823529411765,0.0,0.52,0.0,0.6842105263157895,0.5882352941176471,0.16666666666666666,0.6896551724137931,9.0,0.0,1.0,0.0,0.2,0.0,0.3333333333333333,0.0,1.0,0.0,0.6923076923076923,0.5294117647058824,0.0,0.1111111111111111,0.9090909090909091,0.1,0.32,0.6666666666666666,0.32653061224489793,0.0,1.0,0.0,0.5777777777777777,0.7647058823529411,0.5357142857142857,0.32,0.7142857142857143,0.3018867924528302,0.23529411764705882,0.8571428571428571,0.17777777777777778,37.0,0.0
12,10,4,0.6,0.2,2000,ancestral,0.5,2.0,0.4,0.7,0.7,1.2,False,True,2000,8,True,1,cuda,16,0.05,1,112.92137293699943,0.023202552999464388,37.71527798900024,0.8333333333333334,0.16666666666666666,0.8333333333333334,0.39285714285714285,0.0,0.5641025641025641,0.5,0.6,0.4444444444444444,0.7333333333333333,0.5789473684210527,0.0,0.4482758620689655,0.0,0.6190476190476191,0.5,0.18181818181818182,0.6206896551724137,11.0,0.0,1.0,0.0,0.21428571428571427,0.0,0.35294117647058826,0.5,0.8333333333333334,0.25,0.6428571428571429,0.47368421052631576,0.0,0.6666666666666666,0.8095238095238095,0.2962962962962963,0.42857142857142855,0.5714285714285714,0.42857142857142855,0.0,1.0,0.0,0.6363636363636364,0.7368421052631579,0.44,0.41379310344827586,0.5714285714285714,0.42105263157894735,0.2777777777777778,0.8,0.23255813953488372,33.0,0.0
13,10,4,0.6,0.2,2000,ancestral,0.5,2.0,0.4,0.7,0.7,1.2,False,True,2000,8,True,1,cuda,16,0.05,1,123.73761671000011,0.02415820900023391,32.69841310300035,0.14285714285714285,0.0,0.25,0.4444444444444444,0.0,0.6153846153846154,1.0,0.8181818181818182,0.3076923076923077,0.8,0.6666666666666666,0.0,0.5,0.125,0.6363636363636364,0.4444444444444444,0.3333333333333333,0.5333333333333333,14.0,0.14285714285714285,0.0,0.25,0.4074074074074074,0.0,0.5789473684210527,0.5,0.9,0.16666666666666666,0.7586206896551724,0.6111111111111112,0.0,0.5714285714285714,0.6923076923076923,0.4,0.4074074074074074,0.6071428571428571,0.4,0.0,1.0,0.0,0.6222222222222222,0.7777777777777778,0.48148148148148145,0.4642857142857143,0.5806451612903226,0.4406779661016949,0.3888888888888889,0.7307692307692307,0.3181818181818182,30.0,0.0
14,10,4,0.6,0.2,2000,ancestral,0.5,2.0,0.4,0.7,0.7,1.2,False,True,2000,8,True,1,cuda,16,0.05,1,150.1981923330004,0.0355955039995024,53.45588627899997,0.8181818181818182,0.18181818181818182,0.8181818181818182,0.7058823529411765,0.14285714285714285,0.7741935483870968,1.0,0.3333333333333333,0.8,0.8275862068965517,0.8,0.14285714285714285,0.7058823529411765,0.14285714285714285,0.7741935483870968,0.7333333333333333,0.21428571428571427,0.7586206896551724,7.0,0.7272727272727273,0.0,0.8421052631578947,0.6470588235294118,0.0,0.7857142857142857,0.5,0.8,0.2857142857142857,0.8888888888888888,0.8,0.0,0.2727272727272727,0.8571428571428571,0.1875,0.35294117647058826,0.7692307692307693,0.27906976744186046,0.5,0.9473684210526315,0.09523809523809523,0.5833333333333334,0.9333333333333333,0.5757575757575758,0.47058823529411764,0.7647058823529411,0.3137254901960784,0.4666666666666667,0.7878787878787878,0.29166666666666663,34.0,0.0
15,10,4,0.6,0.2,2000,ancestral,0.5,2.0,0.4,0.7,0.7,1.2,False,True,2000,8,True,1,cuda,16,0.05,1,158.57064929199987,0.02929793199928099,48.15923609699985,0.625,0.16666666666666666,0.7142857142857143,0.5909090909090909,0.07142857142857142,0.7222222222222222,0.625,0.5833333333333334,0.5,0.8,0.7368421052631579,0.125,0.5833333333333334,0.3,0.6363636363636364,0.47368421052631576,0.4375,0.5142857142857142,17.0,0.0,1.0,0.0,0.5,0.15384615384615385,0.6285714285714286,0.875,0.46153846153846156,0.6666666666666666,0.8125,0.6842105263157895,0.0,0.625,0.7619047619047619,0.3448275862068966,0.7272727272727273,0.4838709677419355,0.6037735849056604,0.0,1.0,0.0,0.72,0.9473684210526315,0.41935483870967744,0.7083333333333334,0.5,0.5862068965517241,0.6842105263157895,0.5806451612903226,0.5200000000000001,24.0,0.0
16,10,4,0.6,0.2,4000,ancestral,0.5,2.0,0.4,0.7,0.7,1.2,False,True,2000,8,True,1,cuda,16,0.05,1,370.656982988,0.19197394999991957,70.36415600999953,0.8181818181818182,0.5,0.6206896551724138,0.6086956521739131,0.46153846153846156,0.5714285714285714,0.1,0.5,0.16666666666666666,0.7368421052631579,0.65625,0.16,0.5,0.2857142857142857,0.5882352941176471,0.40625,0.48,0.45614035087719296,31.0,0.09090909090909091,0.5,0.15384615384615385,0.30434782608695654,0.6666666666666666,0.3181818181818182,0.03333333333333333,0.0,0.06451612903225806,0.5454545454545454,0.375,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.6333333333333333,0.6779661016949152,0.42696629213483145,0.8169014084507042,0.90625,0.2564102564102564,0.35,0.65,0.35,0.15625,0.8717948717948718,0.14084507042253522,61.0,0.0
17,10,4,0.6,0.2,4000,ancestral,0.5,2.0,0.4,0.7,0.7,1.2,False,True,2000,8,True,1,cuda,16,0.05,1,345.6014145950003,0.052585915999770805,56.53463792100047,1.0,0.0,1.0,0.56,0.06666666666666667,0.7,0.6470588235294118,0.15384615384615385,0.7333333333333333,0.8372093023255814,0.72,0.0,0.6060606060606061,0.047619047619047616,0.7407407407407407,0.6086956521739131,0.2222222222222222,0.6829268292682927,13.0,0.125,0.5,0.2,0.08,0.75,0.12121212121212122,0.23529411764705882,0.5,0.32,0.4117647058823529,0.28,0.2222222222222222,1.0,0.5,0.6666666666666666,0.64,0.5151515151515151,0.5517241379310345,0.7647058823529411,0.43478260869565216,0.65,0.7868852459016393,0.96,0.3333333333333333,0.696969696969697,0.41025641025641024,0.6388888888888888,0.6086956521739131,0.6111111111111112,0.47457627118644075,31.0,0.0
18,10,4,0.6,0.2,4000,ancestral,0.5,2.0,0.4,0.7,0.7,1.2,False,True,2000,8,True,1,cuda,16,0.05,1,136.13782661499954,0.03924100600033853,71.27331364600013,0.0,1.0,1.0,0.7692307692307693,0.0,0.8695652173913043,0.8,0.0,0.8888888888888888,0.88,0.7857142857142857,0.0,0.6666666666666666,0.14285714285714285,0.75,0.5714285714285714,0.2727272727272727,0.64,9.0,0.0,1.0,0.0,0.7692307692307693,0.16666666666666666,0.8,0.5333333333333333,0.0,0.6956521739130435,0.88,0.7857142857142857,0.0,0.0,1.0,0.0,0.8461538461538461,0.47619047619047616,0.6470588235294118,0.3333333333333333,0.7058823529411765,0.3125,0.6829268292682927,1.0,0.48148148148148145,0.7777777777777778,0.48148148148148145,0.6222222222222222,0.7142857142857143,0.6296296296296297,0.4878048780487805,21.0,0.0
19,10,4,0.6,0.2,4000,ancestral,0.5,2.0,0.4,0.7,0.7,1.2,False,True,2000,8,True,1,cuda,16,0.05,1,270.74041524900076,0.18339733700122451,263.8027809940013,0.4444444444444444,0.5,0.47058823529411764,0.7105263157894737,0.2702702702702703,0.72,0.3076923076923077,0.42857142857142855,0.4,0.8571428571428571,0.8,0.07692307692307693,0.6666666666666666,0.21052631578947367,0.7228915662650602,0.5333333333333333,0.36,0.5818181818181818,23.0,0.1111111111111111,0.6666666666666666,0.16666666666666666,0.21052631578947367,0.3333333333333333,0.32,0.38461538461538464,0.4444444444444444,0.45454545454545453,0.5714285714285714,0.4,0.0,0.6666666666666666,0.625,0.48,0.6578947368421053,0.3055555555555556,0.6756756756756757,0.46153846153846156,0.625,0.41379310344827586,0.875,0.9333333333333333,0.17647058823529413,0.6666666666666666,0.23076923076923078,0.7142857142857143,0.5666666666666667,0.5,0.53125,30.0,0.0
